Date,Description,Amount,Type,Category,Account Name,Month
2018-01-01,Amazon,-11.11,Expense,Shopping,Platinum Card,2018-01
2018-01-02,Mortgage Payment,-1247.44,Expense,Mortgage & Rent,Checking,2018-01
2018-01-02,Thai Restaurant,-24.22,Expense,Restaurants,Silver Card,2018-01
2018-01-03,Credit Card Payment,2298.09,Income,Credit Card Payment,Platinum Card,2018-01
2018-01-04,Netflix,-11.76,Expense,Movies & Dvds,Platinum Card,2018-01
2018-01-05,American Tavern,-25.85,Expense,Restaurants,Silver Card,2018-01
2018-01-06,Hardware Store,-18.45,Expense,Home Improvement,Silver Card,2018-01
2018-01-08,Gas Company,-45.0,Expense,Utilities,Checking,2018-01
2018-01-08,Hardware Store,-15.38,Expense,Home Improvement,Silver Card,2018-01
2018-01-09,Spotify,-10.69,Expense,Music,Platinum Card,2018-01
2018-01-10,Phone Company,-89.46,Expense,Mobile Phone,Checking,2018-01
2018-01-11,Shell,-34.87,Expense,Gas & Fuel,Platinum Card,2018-01
2018-01-11,Grocery Store,-43.54,Expense,Groceries,Platinum Card,2018-01
2018-01-12,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-01
2018-01-13,Pizza Place,-32.91,Expense,Fast Food,Platinum Card,2018-01
2018-01-13,Amazon,-39.05,Expense,Shopping,Platinum Card,2018-01
2018-01-15,Grocery Store,-44.19,Expense,Groceries,Silver Card,2018-01
2018-01-15,American Tavern,-64.11,Expense,Restaurants,Silver Card,2018-01
2018-01-16,City Water Charges,-35.0,Expense,Utilities,Checking,2018-01
2018-01-16,Power Company,-60.0,Expense,Utilities,Checking,2018-01
2018-01-19,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-01
2018-01-20,Amazon,-50.21,Expense,Shopping,Platinum Card,2018-01
2018-01-22,Credit Card Payment,554.99,Income,Credit Card Payment,Platinum Card,2018-01
2018-01-22,Credit Card Payment,309.81,Income,Credit Card Payment,Silver Card,2018-01
2018-01-22,Credit Card Payment,-554.99,Expense,Credit Card Payment,Checking,2018-01
2018-01-22,Hardware Store,-17.38,Expense,Home Improvement,Silver Card,2018-01
2018-01-23,Credit Card Payment,-309.81,Expense,Credit Card Payment,Checking,2018-01
2018-01-24,Starbucks,-3.0,Expense,Coffee Shops,Platinum Card,2018-01
2018-01-25,Internet Service Provider,-69.99,Expense,Internet,Checking,2018-01
2018-01-29,Shell,-30.42,Expense,Gas & Fuel,Silver Card,2018-01
2018-01-29,Thai Restaurant,-25.0,Expense,Restaurants,Silver Card,2018-01
2018-01-29,Brunch Restaurant,-17.62,Expense,Restaurants,Platinum Card,2018-01
2018-02-01,Grocery Store,-27.79,Expense,Groceries,Platinum Card,2018-02
2018-02-01,Amazon,-11.11,Expense,Shopping,Platinum Card,2018-02
2018-02-02,Mortgage Payment,-1247.44,Expense,Mortgage & Rent,Checking,2018-02
2018-02-02,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-02
2018-02-03,Japanese Restaurant,-57.02,Expense,Restaurants,Platinum Card,2018-02
2018-02-04,Netflix,-11.76,Expense,Movies & Dvds,Platinum Card,2018-02
2018-02-05,Credit Card Payment,145.14,Income,Credit Card Payment,Platinum Card,2018-02
2018-02-06,Credit Card Payment,154.13,Income,Credit Card Payment,Silver Card,2018-02
2018-02-07,Credit Card Payment,-154.13,Expense,Credit Card Payment,Checking,2018-02
2018-02-07,Gas Company,-65.0,Expense,Utilities,Checking,2018-02
2018-02-09,Barbershop,-30.0,Expense,Haircut,Platinum Card,2018-02
2018-02-09,Spotify,-10.69,Expense,Music,Platinum Card,2018-02
2018-02-10,Bojangles,-10.66,Expense,Fast Food,Platinum Card,2018-02
2018-02-11,Fancy Restaurant,-106.8,Expense,Restaurants,Platinum Card,2018-02
2018-02-12,Shell,-36.47,Expense,Gas & Fuel,Silver Card,2018-02
2018-02-12,Phone Company,-89.52,Expense,Mobile Phone,Checking,2018-02
2018-02-14,Brewing Company,-14.0,Expense,Alcohol & Bars,Silver Card,2018-02
2018-02-15,American Tavern,-10.0,Expense,Restaurants,Platinum Card,2018-02
2018-02-15,Power Company,-60.0,Expense,Utilities,Checking,2018-02
2018-02-16,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-02
2018-02-16,Brunch Restaurant,-8.0,Expense,Restaurants,Silver Card,2018-02
2018-02-16,City Water Charges,-35.0,Expense,Utilities,Checking,2018-02
2018-02-20,Grocery Store,-35.95,Expense,Groceries,Silver Card,2018-02
2018-02-20,Mexican Restaurant,-23.51,Expense,Restaurants,Silver Card,2018-02
2018-02-21,Starbucks,-2.0,Expense,Coffee Shops,Platinum Card,2018-02
2018-02-22,Starbucks,-4.0,Expense,Coffee Shops,Silver Card,2018-02
2018-02-26,Credit Card Payment,765.37,Income,Credit Card Payment,Platinum Card,2018-02
2018-02-26,Credit Card Payment,156.11,Income,Credit Card Payment,Silver Card,2018-02
2018-02-26,Credit Card Payment,-765.37,Expense,Credit Card Payment,Checking,2018-02
2018-02-26,Internet Service Provider,-74.99,Expense,Internet,Checking,2018-02
2018-02-26,American Tavern,-85.52,Expense,Restaurants,Silver Card,2018-02
2018-02-26,Gas Station,-32.21,Expense,Gas & Fuel,Silver Card,2018-02
2018-02-27,Credit Card Payment,-156.11,Expense,Credit Card Payment,Checking,2018-02
2018-03-01,Grocery Store,-32.07,Expense,Groceries,Silver Card,2018-03
2018-03-01,Amazon,-13.13,Expense,Shopping,Platinum Card,2018-03
2018-03-02,Mortgage Payment,-1247.44,Expense,Mortgage & Rent,Checking,2018-03
2018-03-02,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-03
2018-03-03,Grocery Store,-23.74,Expense,Groceries,Silver Card,2018-03
2018-03-04,Grocery Store,-10.69,Expense,Groceries,Platinum Card,2018-03
2018-03-04,Netflix,-11.76,Expense,Movies & Dvds,Platinum Card,2018-03
2018-03-04,BBQ Restaurant,-42.24,Expense,Restaurants,Platinum Card,2018-03
2018-03-05,Starbucks,-3.0,Expense,Coffee Shops,Platinum Card,2018-03
2018-03-05,Credit Card Payment,761.59,Income,Credit Card Payment,Silver Card,2018-03
2018-03-05,Credit Card Payment,-761.59,Expense,Credit Card Payment,Checking,2018-03
2018-03-07,Starbucks,-3.5,Expense,Coffee Shops,Platinum Card,2018-03
2018-03-08,BP,-34.9,Expense,Gas & Fuel,Platinum Card,2018-03
2018-03-08,Gas Company,-52.0,Expense,Utilities,Checking,2018-03
2018-03-09,Grocery Store,-20.72,Expense,Groceries,Platinum Card,2018-03
2018-03-09,Grocery Store,-5.09,Expense,Groceries,Platinum Card,2018-03
2018-03-09,Spotify,-10.69,Expense,Music,Platinum Card,2018-03
2018-03-12,Grocery Store,-19.35,Expense,Groceries,Platinum Card,2018-03
2018-03-12,Phone Company,-89.52,Expense,Mobile Phone,Checking,2018-03
2018-03-13,Amazon,-45.75,Expense,Shopping,Platinum Card,2018-03
2018-03-14,Grocery Store,-22.5,Expense,Groceries,Platinum Card,2018-03
2018-03-14,Brunch Restaurant,-8.49,Expense,Restaurants,Platinum Card,2018-03
2018-03-15,Starbucks,-3.5,Expense,Coffee Shops,Platinum Card,2018-03
2018-03-15,Power Company,-60.0,Expense,Utilities,Checking,2018-03
2018-03-16,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-03
2018-03-17,Brewing Company,-19.5,Expense,Alcohol & Bars,Silver Card,2018-03
2018-03-17,Pizza Place,-23.34,Expense,Fast Food,Platinum Card,2018-03
2018-03-19,Mediterranean Restaurant,-36.48,Expense,Restaurants,Silver Card,2018-03
2018-03-19,City Water Charges,-35.0,Expense,Utilities,Checking,2018-03
2018-03-20,Amazon,-14.97,Expense,Shopping,Platinum Card,2018-03
2018-03-22,BP,-30.55,Expense,Gas & Fuel,Silver Card,2018-03
2018-03-23,Credit Card Payment,559.91,Income,Credit Card Payment,Platinum Card,2018-03
2018-03-23,Credit Card Payment,-559.91,Expense,Credit Card Payment,Checking,2018-03
2018-03-23,Grocery Store,-11.76,Expense,Groceries,Silver Card,2018-03
2018-03-26,Internet Service Provider,-74.99,Expense,Internet,Checking,2018-03
2018-03-28,Grocery Store,-16.06,Expense,Groceries,Silver Card,2018-03
2018-03-28,Pizza Place,-24.98,Expense,Restaurants,Silver Card,2018-03
2018-03-29,Steakhouse,-17.64,Expense,Restaurants,Silver Card,2018-03
2018-03-30,Grocery Store,-9.09,Expense,Groceries,Silver Card,2018-03
2018-03-30,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-03
2018-03-31,Belgian Restaurant,-38.32,Expense,Restaurants,Platinum Card,2018-03
2018-03-31,Chili's,-24.74,Expense,Restaurants,Platinum Card,2018-03
2018-03-31,Greek Restaurant,-41.16,Expense,Restaurants,Silver Card,2018-03
2018-04-01,Grocery Store,-80.79,Expense,Groceries,Platinum Card,2018-04
2018-04-01,Brewing Company,-59.48,Expense,Restaurants,Platinum Card,2018-04
2018-04-01,Amazon,-13.13,Expense,Shopping,Platinum Card,2018-04
2018-04-02,Credit Card Payment,817.14,Income,Credit Card Payment,Silver Card,2018-04
2018-04-02,Credit Card Payment,-817.14,Expense,Credit Card Payment,Checking,2018-04
2018-04-02,Grocery Store,-82.36,Expense,Groceries,Platinum Card,2018-04
2018-04-02,Hardware Store,-13.89,Expense,Home Improvement,Platinum Card,2018-04
2018-04-02,Mortgage Payment,-1247.44,Expense,Mortgage & Rent,Checking,2018-04
2018-04-03,Amazon Video,-6.41,Expense,Movies & Dvds,Platinum Card,2018-04
2018-04-04,Credit Card Payment,363.08,Income,Credit Card Payment,Platinum Card,2018-04
